"ID","Sem1","Sem2","Sem3","Sem4","Sem5","Sem6","Label"
"A01","2.81","2.95","2.90","2.10","3.00","2.67","0"
"A02","3.14","3.24","3.33","2.12","0.88","1.17","0"
"A03","2.71","2.10","3.29","2.22","3.06","2.96","0"
"A04","2.67","3.19","3.14","2.24","3.00","3.17","0"
"A05","2.62","3.05","2.95","2.30","3.18","3.04","0"
"A06","3.05","2.62","3.38","2.33","0.33","0.50","0"
"A07","2.14","2.78","2.62","2.33","2.61","3.10","0"
"A08","2.86","2.95","3.19","2.35","3.59","2.43","0"
"A09","2.86","2.19","3.06","2.39","2.83","2.95","0"
"A10","3.24","2.00","2.94","2.40","2.94","2.71","0"
"A11","2.90","3.00","3.19","2.40","3.00","2.88","0"
"A12","2.71","2.67","2.95","2.41","3.00","3.08","0"
"A13","3.14","3.24","3.38","2.42","2.82","3.10","0"
"A14","2.95","2.38","3.47","2.50","2.90","3.05","0"
"A15","2.00","2.47","2.76","2.57","3.05","2.87","0"
"A16","2.29","2.47","2.72","2.58","3.11","2.88","0"
"A17","2.43","3.17","2.75","2.60","2.81","2.85","0"
"A18","2.19","2.78","2.81","2.60","3.00","3.00","0"
"A19","3.05","2.87","2.81","2.60","3.30","3.17","0"
"A20","2.62","2.05","3.06","2.61","3.29","3.23","1"
"A21","2.62","2.14","3.06","2.62","2.75","3.05","0"
"A22","2.29","2.89","2.57","2.65","2.95","3.19","0"
"A23","2.90","2.00","3.12","2.67","2.74","2.65","0"
"A24","2.19","2.67","3.38","2.75","3.00","2.88","0"
"A25","2.62","2.19","2.94","2.75","3.24","3.42","0"
"A26","3.48","2.57","3.43","2.78","3.38","3.55","1"
"A27","2.90","3.05","3.57","2.83","3.00","3.18","0"
"A28","2.71","2.57","3.29","2.83","3.05","3.09","0"
"A29","3.00","2.57","3.67","2.83","3.14","2.95","0"
"A30","2.57","3.24","2.90","2.85","3.30","3.14","0"
"A31","3.00","2.95","3.33","2.88","2.85","3.38","0"
"A32","2.86","2.81","3.71","2.88","3.19","3.38","1"
"A33","2.81","3.24","3.52","2.88","3.30","3.42","1"
"A34","2.90","2.57","3.43","2.88","3.33","3.42","1"
"A35","2.76","2.10","3.11","2.90","2.40","2.33","0"
