id,sem1,sem2,sem3,sem4,sem5,sem6
A01,3.62,3.09,3.52,3.87,3.11,3.64
A02,3.05,2.91,2.86,3.35,3.50,3.23
A03,3.29,3.09,3.71,3.64,3.57,4.00
A04,3.57,3.35,3.71,3.45,4.00,3.74
A05,2.86,2.81,3.71,2.88,3.19,3.38
A06,3.62,3.52,3.52,3.61,3.57,3.73
A07,3.38,2.78,3.90,3.87,3.88,3.87
A08,2.86,2.19,3.06,2.39,2.83,2.95
A09,3.71,3.39,3.48,3.61,3.86,3.55
A10,3.33,3.13,3.86,3.10,3.42,3.64
A11,3.14,2.70,3.14,3.55,3.29,3.48
A12,3.52,3.35,3.62,3.77,3.50,4.00
A13,3.14,2.70,3.29,3.48,3.24,3.59
A14,3.43,3.26,3.57,3.64,3.71,3.74
A15,2.71,3.57,3.14,3.35,3.13,3.87
A16,2.76,3.57,3.71,3.86,3.39,3.57
A17,2.95,3.29,3.19,2.91,3.10,3.18
A18,2.52,3.10,2.71,3.15,2.95,3.43
A19,3.19,3.38,3.29,3.40,3.13,3.64
B01,2.86,2.38,3.33,3.09,2.90,3.29
B02,2.86,2.81,3.14,3.29,3.46,2.86
B03,2.19,2.67,3.38,2.75,3.00,2.88
B04,4.00,3.74,3.62,3.86,3.71,3.35
B05,3.19,3.00,3.29,3.21,3.47,2.86
B06,2.33,3.44,2.62,2.90,3.11,3.35
B07,2.19,3.00,2.86,3.38,3.04,3.29
B08,2.19,2.78,2.81,2.60,3.00,3.00
B09,3.05,2.62,3.38,2.33,0.33,0.50
B10,3.29,3.62,3.62,3.65,3.26,3.35
B11,2.71,3.10,2.91,3.25,3.17,3.22
B12,2.71,2.67,2.95,2.41,3.00,3.08
B13,2.62,2.05,3.06,2.61,3.29,3.23
B14,4.00,3.39,3.10,3.54,3.67,2.88
B15,2.29,2.47,2.72,2.58,3.11,2.88
B16,2.29,2.89,2.57,2.65,2.95,3.19
B17,3.33,3.33,3.48,3.41,3.27,3.35
B18,2.90,3.24,3.19,3.40,3.39,3.35
B19,3.24,2.00,2.94,2.40,2.94,2.71
B20,2.48,2.39,3.24,2.91,2.95,2.95
