id,sem1,sem2,sem3,sem4,sem5,sem6
B01,2.62,2.19,2.94,2.75,3.24,3.42
B02,3.00,2.57,3.67,2.83,3.14,2.95
B03,2.95,2.38,3.47,2.50,2.90,3.05
B04,2.76,2.10,3.11,2.90,2.40,2.33
B05,2.95,2.52,3.00,3.12,3.29,3.48
B06,3.71,2.96,3.76,3.64,3.52,3.52
B07,3.24,2.96,3.48,3.55,3.78,3.18
B08,2.86,2.43,3.06,3.38,3.21,3.18
B09,2.86,2.81,3.24,3.29,3.29,3.25
B10,2.71,2.57,3.29,2.83,3.05,3.09
B11,2.90,3.05,3.57,2.83,3.00,3.18
B12,3.05,2.83,3.00,3.58,3.17,3.25
B13,2.71,2.10,3.29,2.22,3.06,2.96
B14,2.95,3.05,3.14,3.32,3.43,3.00
B15,2.86,2.52,3.57,3.04,3.42,2.61
B16,2.62,2.14,3.06,2.62,2.75,3.05
B17,3.19,2.61,3.10,2.96,3.50,0.69
B18,2.00,2.47,2.76,2.57,3.05,2.87
B19,2.90,2.00,3.12,2.67,2.74,2.65
B20,3.57,2.76,3.62,3.79,3.86,3.48
B21,2.76,3.00,3.67,3.59,3.00,3.00
B22,3.05,2.87,2.81,2.60,3.30,3.17
B23,2.43,3.50,2.90,2.90,3.35,3.35
B24,2.62,3.05,2.95,2.30,3.18,3.04
B25,3.19,3.35,3.71,3.35,3.39,3.61
B26,2.19,3.22,2.76,2.90,3.10,3.50
B27,3.81,3.61,3.62,3.82,3.45,3.61
B28,2.52,2.90,3.48,3.41,3.26,3.35
B29,2.67,3.19,3.14,2.24,3.00,3.17
B30,2.90,3.00,3.19,2.40,3.00,2.88
B31,2.81,2.95,2.90,2.10,3.00,2.67
B32,3.24,3.33,3.38,3.85,3.83,4.00
B33,2.43,2.65,3.38,3.11,3.13,3.45
B34,2.62,3.14,3.24,3.09,3.14,3.14
B35,3.19,3.33,2.67,3.15,3.18,3.09
B36,3.33,3.38,3.24,3.15,3.52,3.25
B37,2.86,3.48,3.05,3.05,3.39,3.35
B38,3.24,3.21,3.29,3.18,3.39,3.22
B39,2.43,3.17,2.75,2.60,2.81,2.85
B40,2.52,3.29,3.00,3.55,2.96,3.30
B41,3.00,2.95,3.33,2.88,2.85,3.38
B42,2.62,3.00,2.71,3.30,3.24,3.14
B43,3.43,3.43,3.05,3.22,3.09,2.81
B44,2.14,2.78,2.62,2.33,2.61,3.10
B45,2.86,3.10,3.76,2.94,3.15,3.29
B46,3.14,3.38,3.00,3.21,3.27,3.67
B47,2.57,3.24,2.90,2.85,3.30,3.14
B48,2.86,2.95,3.19,2.35,3.59,2.43
B49,3.14,3.24,3.33,2.12,0.88,1.17
B50,3.14,3.24,3.38,2.42,2.82,3.10
B51,2.81,3.24,3.52,2.88,3.30,3.42
