Sem1,Sem2,Sem3,Sem4,Sem5,Sem6,Label
2.62,2.19,2.94,2.75,3.24,3.42,0
3.29,3.09,3.33,3.61,3.24,3.27,1
3.00,2.57,3.67,2.83,3.14,2.95,0
3.76,3.26,3.67,3.59,3.83,3.74,1
2.95,2.38,3.47,2.5,2.9,3.05,0
2.76,2.1,3.11,2.9,2.4,2.33,0
3.57,2.87,3.71,3.09,3.09,3.39,1
3.62,3.09,3.52,3.87,3.11,3.64,1
3.24,2.00,2.94,2.4,2.94,2.71,0
3.52,2.74,3.14,3.48,3.06,3.23,1
2.86,2.19,3.06,2.39,2.83,2.95,1
2.86,2.38,3.33,3.09,2.9,3.29,0
3.24,2.7,3.38,3.62,3.57,3.73,1
2.95,2.52,3.57,3.13,3.29,3.18,1
2.95,2.52,3.00,3.12,3.29,3.48,0
3.33,3.22,3.29,3.22,3.43,3.5,1
3.05,2.91,2.86,3.35,3.5,3.23,1
3.38,2.78,3.9,3.87,3.88,3.87,1
3.71,3.39,3.48,3.61,3.86,3.55,1
3.48,3.52,3.86,3.33,3.71,3.59,1
3.71,2.96,3.76,3.64,3.52,3.52,0
3.24,3.13,3.67,3.25,3.33,3.45,1
3.05,2.52,3.19,3.5,3.21,2.61,1
3.24,2.96,3.48,3.55,3.78,3.18,0
3.33,3.13,3.86,3.1,3.42,3.64,1
2.86,2.43,3.06,3.38,3.21,3.18,0
2.62,2.05,3.06,2.61,3.29,3.23,0
3.29,3.09,3.71,3.64,3.57,4.00,1
2.86,2.81,3.14,3.29,3.46,2.86,0
2.86,2.81,3.24,3.29,3.29,3.25,0
3.48,2.57,3.43,2.78,3.38,3.55,1
2.71,2.57,3.29,2.83,3.05,3.09,0
3.05,2.87,3.43,3.71,3.33,3.15,1
3.57,3.35,3.71,3.45,4.00,3.74,1
2.9,3.05,3.57,2.83,3.00,3.18,0
3.19,3.17,3.19,3.55,3.46,3.15,1
2.48,2.39,3.24,2.91,2.95,2.95,0
3.19,3.26,4.00,3.5,3.88,3.73,1
2.62,2.19,3.29,3.13,3.18,2.95,1
3.14,2.7,3.14,3.55,3.29,3.48,1
2.86,2.81,3.71,2.88,3.19,3.38,1
3.05,2.83,3.00,3.58,3.17,3.25,0
2.19,2.67,3.38,2.75,3.00,2.88,0
3.00,2.87,2.9,3.45,3.58,2.95,1
2.71,2.1,3.29,2.22,3.06,2.96,0
2.95,3.05,3.14,3.32,3.43,3.00,0
2.86,2.52,3.57,3.04,3.42,2.61,0
4.00,3.39,3.1,3.54,3.67,2.88,0
2.62,2.14,3.06,2.62,2.75,3.05,0
3.52,2.75,3.62,3.3,3.19,3.32,1
3.52,3.35,3.62,3.77,3.5,4.00,1
2.9,2.57,3.43,2.88,3.33,3.42,1
4.00,3.74,3.62,3.86,3.71,3.35,0
3.43,3.54,4.00,3.5,3.81,3.87,1
3.19,2.61,3.1,2.96,3.5,0.69,0
3.67,3.29,4.00,3.75,4.00,3.87,1
3.05,2.83,3.52,3.04,3.62,3.18,1
2.00,2.47,2.76,2.57,3.05,2.87,0
3.24,2.74,3.52,3.62,3.44,3.64,1
2.9,2.00,3.12,2.67,2.74,2.65,0
3.62,3.52,3.52,3.61,3.57,3.73,1
3.52,3.09,4.00,3.29,3.38,3.64,1
3.14,2.7,3.29,3.48,3.24,3.59,1
3.57,2.76,3.62,3.79,3.86,3.48,0
3.38,3.38,3.95,3.35,3.71,3.86,1
2.95,3.00,3.48,3.55,3.32,3.55,1
3.69,3.29,3.15,3.17,3.5,3.22,1
2.76,3.00,3.67,3.59,3.00,3.00,0
3.43,3.26,3.57,3.64,3.71,3.74,1
3.38,3.33,3.24,3.35,3.39,3.65,1
3.19,3.00,3.29,3.21,3.47,2.86,0
2.76,3.57,3.71,3.86,3.39,3.57,1
2.57,3.29,2.95,3.4,3.13,3.61,1
3.05,2.87,2.81,2.6,3.3,3.17,0
2.43,3.5,2.9,2.9,3.35,3.35,0
2.62,3.05,2.95,2.3,3.18,3.04,0
3.29,3.19,3.14,3.6,3.22,3.62,1
3.19,3.35,3.71,3.35,3.39,3.61,0
2.95,3.29,3.19,2.91,3.1,3.18,1
2.33,3.44,2.62,2.9,3.11,3.35,0
